# data generated for lookup table

dstport,protocol,tag
29325,uDp,sv_P2
28102,uDp,sv_P5
39305,TCp,sv_P5
1305,ICmP,database
13195,TCp,web
41455,Udp,sv_P4
57225,ICMp,monitoring
59974,iCMP,sv_P5
54078,ICMp,backup
27855,iCMp,database
18693,uDP,monitoring
34099,TcP,sv_P3
63855,UDP,sv_P5
20837,ICmP,sv_P2
58957,Udp,sv_P5
14055,icmP,backup
17384,IcMP,web
17404,uDP,backup
44561,Udp,sv_P4
63951,uDP,sv_P4
52948,UdP,database
55476,tCP,sv_P3
20656,udP,backup
15385,uDP,sv_P4
42160,udP,sv_P5
28509,iCMp,web
3536,tCp,sv_P1
22271,UDP,sv_P4
38118,UDP,monitoring
58795,iCmp,sv_P3
203,Tcp,sv_P4
29088,udP,web
51603,IcMP,monitoring
2883,iCmp,web
37745,icmp,monitoring
5014,IcMp,sv_P4
246,UDP,sv_P1
15092,Udp,sv_P5
52108,UdP,sv_P3
4760,iCmp,sv_P1
39714,uDP,database
30600,UdP,email
27015,Icmp,sv_P3
64696,Tcp,email
20122,IcMp,sv_P2
19487,tcp,backup
58943,ICmp,sv_P1
34291,udp,sv_P3
13008,UDP,database
44416,UDp,sv_P2
22906,UDP,monitoring
29295,iCmP,sv_P1
51980,tcp,sv_P4
8315,iCmp,monitoring
43647,iCMp,email
45780,udP,sv_P4
8678,uDp,backup
43831,tCP,sv_P4
19791,tCp,sv_P5
5021,TCp,sv_P2
13216,UDP,sv_P5
52994,UDp,sv_P2
59881,uDp,sv_P5
24075,IcMP,email
54064,UDP,database
46148,UDP,backup
52551,Tcp,sv_P4
34392,Udp,sv_P1
62036,uDp,sv_P2
42414,uDp,web
4297,TcP,database
4514,TCp,sv_P2
56867,Icmp,web
50569,UDp,sv_P4
61184,UDp,email
26697,ICmP,sv_P3
51359,uDp,monitoring
32055,TCp,backup
14396,TCp,sv_P5
58460,udP,web
56274,uDp,web
40642,Tcp,web
25494,tCP,sv_P1
60246,iCMP,sv_P3
41572,udP,monitoring
10214,Tcp,email
26821,Udp,sv_P3
32634,TcP,monitoring
55693,Icmp,sv_P2
24895,IcMp,sv_P4
28776,iCMp,sv_P3
7633,IcmP,sv_P5
60422,UDp,sv_P3
26208,udp,sv_P5
481,icMp,sv_P3
33319,iCMP,email
61469,tcP,backup
39377,tcP,web
54004,IcMP,database
59842,tCP,email
43082,uDp,email
19709,iCmP,web
48012,udp,sv_P5
35966,uDp,sv_P3
42288,iCmp,database
13601,TCP,sv_P4
15422,tcP,sv_P5
2599,ICMP,backup
27705,ICMp,database
63702,tCP,sv_P1
26201,ICMP,database
18991,UDP,monitoring
3508,ICmP,email
21492,tcp,sv_P2
40572,icMP,sv_P1
63842,Udp,sv_P2
35158,tCp,database
34356,icmP,backup
58100,uDp,sv_P5
60461,UdP,sv_P4
23447,UdP,backup
28427,icmp,sv_P2
30512,TCp,sv_P1
63780,tcP,sv_P4
24813,Icmp,sv_P3
