Tag Counts:

Tag,Count
Untagged,66608
sv_P4,327
email,368
sv_P3,343
sv_P1,345
sv_P2,339
web,307
database,331
sv_P5,316
backup,327
monitoring,294

Port/Protocol Combination Counts:

Port,Protocol,Count
34820,tcp,1
5837,tcp,2
9241,icmp,1
24538,udp,2
54882,udp,2
19914,udp,1
63925,tcp,2
54192,icmp,1
6551,udp,1
43323,tcp,1
12250,udp,1
31310,udp,3
44253,tcp,2
53977,icmp,2
57602,udp,1
63927,udp,1
47037,udp,1
32993,tcp,1
13638,icmp,1
6014,udp,1
31849,udp,1
54655,udp,1
11792,udp,1
20294,tcp,2
58621,tcp,1
34950,tcp,1
50072,tcp,1
50294,udp,1
5473,tcp,1
58587,icmp,1
29458,icmp,1
42617,udp,2
30483,udp,1
1889,icmp,1
41316,udp,2
18636,tcp,1
4813,tcp,2
50235,udp,2
46708,tcp,1
28660,tcp,1
48669,icmp,1
59822,udp,1
27546,tcp,1
21296,icmp,1
156,tcp,1
21919,udp,1
17548,icmp,1
39540,udp,3
43283,udp,1
24495,udp,2
61895,udp,1
5636,tcp,1
7380,icmp,1
843,udp,1
3187,tcp,1
56063,tcp,2
3433,icmp,2
22017,icmp,1
39857,tcp,1
20114,tcp,1
26178,icmp,1
36848,icmp,1
30543,udp,1
32731,tcp,1
2881,udp,1
38699,icmp,1
31067,icmp,2
48742,udp,1
4489,udp,1
30485,udp,1
16856,icmp,2
47139,icmp,1
35599,udp,1
12089,udp,1
17435,icmp,2
2034,tcp,1
20216,udp,3
35687,udp,1
56193,icmp,2
3507,tcp,1
4053,tcp,1
38378,udp,1
54205,icmp,1
22540,tcp,1
43868,udp,1
52971,icmp,1
46508,udp,1
24017,icmp,2
31250,tcp,1
44439,icmp,1
35416,tcp,1
59010,tcp,1
2590,tcp,1
3337,tcp,1
46713,icmp,1
9653,icmp,2
19590,icmp,2
28029,icmp,2
3922,udp,1
51018,tcp,1
51030,udp,2
27721,icmp,2
20010,udp,1
40680,icmp,1
11204,icmp,2
45881,icmp,1
5063,icmp,1
37963,tcp,1
34606,tcp,2
46436,icmp,1
17816,tcp,2
42876,icmp,2
16313,tcp,3
18133,tcp,2
53148,icmp,1
8496,icmp,1
10001,icmp,2
20194,tcp,1
50374,icmp,1
7445,icmp,1
15212,icmp,1
57879,tcp,1
971,udp,1
26921,udp,1
37366,udp,1
26967,udp,1
25885,udp,3
8031,tcp,1
17340,icmp,1
52867,udp,2
44043,icmp,1
29867,icmp,1
51280,tcp,1
42549,icmp,1
28234,udp,1
31786,tcp,2
16601,udp,1
32605,tcp,2
2080,udp,1
18756,tcp,1
17612,icmp,1
7585,udp,1
53664,tcp,3
27603,udp,1
56251,udp,1
56088,icmp,1
2810,tcp,2
19746,tcp,1
13226,icmp,1
17114,tcp,1
22516,udp,1
45953,icmp,1
54223,tcp,1
40778,tcp,3
2385,icmp,1
15234,icmp,1
57075,icmp,1
36291,udp,1
63091,tcp,2
37984,tcp,1
27416,tcp,1
21795,icmp,1
13744,udp,2
9194,icmp,1
24421,udp,3
20145,tcp,1
18675,icmp,2
39965,udp,1
16514,icmp,2
63738,icmp,1
57619,tcp,1
53028,tcp,1
59409,icmp,2
5255,icmp,1
61465,udp,1
39608,udp,1
64113,udp,1
20618,udp,1
37817,icmp,1
2084,icmp,1
22965,tcp,1
32830,icmp,1
64833,udp,2
20730,tcp,1
17714,tcp,1
57523,tcp,3
35804,udp,2
13907,tcp,2
15850,tcp,1
49828,udp,1
0,icmp,3
44374,udp,1
42579,icmp,3
31862,tcp,1
17701,tcp,2
14526,tcp,1
26895,tcp,1
32416,udp,3
7319,udp,1
9993,icmp,1
59352,udp,1
12950,tcp,1
5722,udp,3
31089,tcp,1
23510,tcp,2
53817,udp,1
36694,icmp,2
39496,udp,1
53871,udp,1
52613,udp,1
39598,icmp,2
6122,tcp,1
29204,icmp,2
40219,icmp,2
1476,udp,1
27820,icmp,2
20625,udp,1
41693,icmp,1
21938,tcp,1
41537,icmp,1
19949,udp,1
5865,tcp,2
14206,tcp,1
32192,udp,1
49202,tcp,1
2877,udp,2
10503,udp,1
47250,tcp,1
61959,udp,1
13622,tcp,1
52610,tcp,2
35629,tcp,2
32344,udp,1
58570,icmp,1
28782,udp,1
17841,udp,1
31189,tcp,1
34363,icmp,2
2690,udp,1
52695,udp,3
15627,udp,2
3629,udp,1
27233,icmp,1
40467,udp,1
8920,icmp,1
34438,udp,1
45410,udp,1
31079,tcp,1
9189,icmp,1
33376,tcp,1
10964,udp,1
27101,icmp,1
11276,tcp,1
15374,tcp,2
52869,udp,1
2928,tcp,1
9019,udp,3
51376,udp,1
1542,udp,3
19731,tcp,1
59901,udp,2
16729,udp,1
42861,udp,1
22882,udp,3
58729,tcp,1
48504,udp,2
57072,icmp,1
49479,icmp,2
940,udp,1
55434,icmp,1
15711,udp,1
19508,tcp,1
62270,tcp,1
51661,udp,1
58606,icmp,2
38788,icmp,4
60201,udp,1
2602,tcp,1
54981,udp,1
42941,udp,1
31486,tcp,1
23977,udp,1
32681,tcp,2
17028,icmp,1
54819,icmp,1
36112,icmp,1
20543,udp,2
61554,tcp,2
43896,icmp,1
40352,tcp,1
43012,icmp,2
26647,udp,2
7613,udp,1
33034,udp,1
3376,udp,2
2721,icmp,3
19121,udp,1
48332,udp,1
29120,tcp,1
42190,icmp,3
59163,tcp,1
7089,udp,2
50419,tcp,1
16717,tcp,1
46288,tcp,1
28299,tcp,1
15633,tcp,1
19547,tcp,1
3096,icmp,1
36302,icmp,1
28204,tcp,2
57153,tcp,1
43578,tcp,1
3337,icmp,1
8720,icmp,1
36629,udp,2
52022,icmp,1
42630,udp,1
19631,tcp,2
15716,udp,1
54322,icmp,1
4741,udp,2
50676,tcp,1
26201,udp,1
54436,icmp,2
1169,icmp,1
35306,tcp,2
7227,udp,2
36056,tcp,1
7718,icmp,1
38169,tcp,2
16665,tcp,2
15593,tcp,1
8322,udp,1
64844,tcp,1
30271,icmp,1
45344,icmp,1
32192,icmp,1
45718,tcp,1
31961,icmp,1
25455,udp,1
48850,icmp,1
51602,udp,1
61547,tcp,1
34239,icmp,1
60588,udp,2
7127,icmp,1
37590,tcp,1
38502,udp,1
54452,udp,1
25462,icmp,1
5334,icmp,1
60689,tcp,2
32368,icmp,1
54184,icmp,2
21178,udp,1
64017,tcp,1
39914,tcp,1
5545,udp,1
59214,tcp,1
17822,icmp,1
24805,icmp,2
24273,tcp,2
59945,icmp,1
44561,tcp,1
11533,udp,1
56031,icmp,2
22780,tcp,2
59009,tcp,1
15366,tcp,2
14298,udp,1
15064,icmp,1
19398,tcp,1
46850,icmp,1
28368,icmp,1
54534,tcp,2
38546,udp,1
13118,icmp,1
44263,udp,1
22829,tcp,1
4138,udp,3
27183,icmp,1
5550,udp,2
54384,icmp,1
6356,udp,1
61103,icmp,1
9534,icmp,2
63112,udp,1
18538,udp,2
61035,icmp,1
21748,tcp,2
39057,icmp,1
39723,udp,1
23821,icmp,2
14124,icmp,2
19696,tcp,2
5674,tcp,1
56387,icmp,1
5166,tcp,1
19668,icmp,2
4169,icmp,1
58058,udp,1
28645,icmp,1
3564,tcp,1
48365,tcp,2
39974,tcp,1
57643,udp,1
44600,udp,1
3464,icmp,1
46123,udp,1
5210,icmp,1
30416,icmp,2
49025,udp,1
12241,tcp,1
11847,icmp,1
11998,tcp,2
9207,icmp,2
49892,tcp,1
40819,udp,1
37106,icmp,1
40728,icmp,1
18567,tcp,1
10127,tcp,1
7123,tcp,1
47835,tcp,1
12075,tcp,1
21212,udp,1
28070,icmp,1
48902,icmp,1
45868,tcp,3
19689,udp,3
17047,tcp,1
2830,udp,1
3393,tcp,1
24755,tcp,1
14213,icmp,2
9254,icmp,1
5587,icmp,1
35425,udp,1
8100,tcp,1
45918,tcp,2
19191,tcp,1
41122,tcp,1
12839,icmp,3
62838,icmp,1
38361,tcp,1
35480,tcp,3
61422,tcp,1
14916,udp,1
54126,tcp,1
49278,icmp,1
50134,udp,1
55200,icmp,1
50391,udp,1
17996,icmp,1
26828,udp,1
2755,icmp,4
21567,udp,1
2362,udp,1
25863,icmp,1
13395,icmp,1
1402,icmp,3
8120,tcp,1
57026,udp,1
59277,udp,1
36890,tcp,4
12852,tcp,1
31799,tcp,2
3438,icmp,1
35639,icmp,1
125,udp,1
46541,icmp,1
16293,icmp,1
11737,tcp,2
29069,icmp,2
26864,tcp,3
63438,icmp,2
1244,tcp,2
11301,tcp,2
65055,icmp,2
24745,tcp,1
23673,tcp,2
5079,icmp,3
8809,udp,2
42613,icmp,1
38270,icmp,3
2329,udp,1
39727,icmp,1
30245,tcp,2
49862,tcp,1
16723,udp,2
55455,tcp,1
22392,icmp,2
44259,tcp,2
53374,udp,2
18676,udp,1
51631,icmp,1
22372,tcp,2
53450,tcp,1
38035,udp,2
56450,udp,1
6963,icmp,1
51755,tcp,1
46337,udp,1
22291,udp,1
53438,tcp,1
49323,udp,1
33788,icmp,1
